baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Esrrb	2653.76317273579	-1.89826749019556	0.164485727295243	-11.5406213135336	0.000000000000000000000000000000823283937161803	0.000000000000000000000000000890100683049462
Car9	122.405787042282	-1.88981904859798	0.549806335337927	-3.43724494814423	0.000587663889893898	0.00852357500300275
Pnliprp2	727.63314472653	-1.88489339157805	0.326272403044578	-5.77705430796278	0.00000000760197545117807	0.000000466299146177107
Glis2	118.465614283863	-1.87842408820832	0.518848768190754	-3.6203691776285	0.000294182965848128	0.00494710581699195
Fzd7	204.105034459681	-1.87540353350798	0.530457449187224	-3.53544574853553	0.000407087825644421	0.0064339283589931
Hand1	418.76128311701	-1.86819952247819	0.488377584872553	-3.82531791045594	0.000130603438565887	0.00253895996835847
Tcf23	564.439400185688	-1.8617417291414	0.326872012561192	-5.69562904622453	0.0000000122917871820265	0.000000728301466904411
Gm16381	86.8123466379546	-1.86027938529911	0.609609678021149	-3.05159096446394	0.00227632063899733	0.024976744347832
Atp10d	377.231454651743	-1.85799666186018	0.320917231176971	-5.78964443587505	0.00000000705355798092565	0.000000436505517006261
Myo5c	74.3599313364578	-1.85591561671216	0.639437022533637	-2.90242127263523	0.00370290218616296	0.0365668156313
Trim35	106.669892410418	-1.84766113947002	0.568878930856727	-3.24789869909131	0.00116260654329658	0.0146366487421896
Tor3a	110.209539689553	-1.84083675048595	0.647898749762107	-2.84124139946537	0.00449382816731917	0.0423642947879161
Spic	3915.04214030543	-1.83821692484613	0.282592162230196	-6.50484043980222	0.0000000000777758886311572	0.00000000736701682517165
Pkd2	219.545702879072	-1.83628280868908	0.528450191396469	-3.47484557406738	0.000511147514143803	0.00764909205247137
Mboat1	1140.59123634924	-1.83214684279481	0.314172059040167	-5.83166704382383	0.00000000548763369239945	0.000000348903249008995
2310015A10Rik	142.191810631055	-1.83044234753571	0.599131874952793	-3.05515767739771	0.00224942227703902	0.024798856520579
Lepre1	407.388735860117	-1.82357351339474	0.414910943335753	-4.39509620723373	0.000011072370426628	0.000302021689501801
Pcca	422.134611210563	-1.82143937722342	0.377627772545028	-4.82337240438594	0.00000141151075669818	0.0000495059843230868
Cubn	6926.38223158899	-1.81822240580062	0.147357404342365	-12.3388601605402	0.0000000000000000000000000000000000559422316755992	0.0000000000000000000000000000000865488482056715
Ckap4	291.940006920747	-1.81691144623783	0.565780416504884	-3.21133675403935	0.00132119011436716	0.0162654740516785
D630037F22Rik	180.047087034895	-1.81451396522412	0.538669697789599	-3.36850944589955	0.000755758073237631	0.0104812504101203
Gpr21	167.606037986431	-1.81402550255726	0.524660557818379	-3.45752215508682	0.00054516741388466	0.0080582920073567
Eid2b	136.513398081439	-1.80901651911825	0.60583392850898	-2.98599407195702	0.00282658122490137	0.0297887527285065
Kirrel	647.379293452003	-1.80657467314283	0.4613592079084	-3.91576594153836	0.0000901176449185031	0.00185621018912017
Mgarp	2404.7510284397	-1.79237543429344	0.256398076960234	-6.99059624605307	0.00000000000273720441544931	0.000000000320275918325346
